"用例编号","一级分类","二级模块","用例名称","优先级","前置条件","测试步骤","预期结果"
"CORE-HM-01","核心功能测试","启动与首页框架（CORE-HM）","首屏加载与数据脚本顺序","P0","清空 localStorage","打开 `http://127.0.0.1:8124/index.html`，观察 Network 与 Console","15 个 `data/*.js`（`site/items/items-side/img/syn/proc/gloss/field/tools/formula/cases/select/template/changelog/qa-meta`）+ `kb-workspace.js` + `app.js` 全部 200；Console 无未捕获异常；默认落在知识库首页"
"CORE-HM-02","核心功能测试","启动与首页框架（CORE-HM）","首页六格统计数字","P0","首屏加载完成","查看首页统计条 `#homeStats`","依次为 **领域 12 / 知识点 224 / 核心必会 65 / 参考图 594 / 速查表 17 / 术语 139**，与附录 A 一致"
"CORE-HM-03","核心功能测试","启动与首页框架（CORE-HM）","hero 文案计数自动校正","P1","首屏加载完成","查看 hero 段落中带 `data-cnt` 的数字","显示为「224 条」「594 张」（即使 HTML 静态写的是 214，运行时必须被 `syncCounts()` 校正）"
"CORE-HM-04","核心功能测试","启动与首页框架（CORE-HM）","导航四组十四个模块齐全","P0","首屏加载完成","逐个查看导航","四组标题为 内容 / 工艺 / 参考 / 我的；内容组 2 个模块、工艺组 6 个筛选按钮、参考组 11 个模块、我的组 1 个模块，共 14 个可点模块 + 6 个工艺按钮"
"CORE-HM-05","核心功能测试","启动与首页框架（CORE-HM）","模块切换与视图互斥","P0","首屏加载完成","依次点击参考组 11 个模块，每次观察页面","每次只显示对应视图容器，其余视图 `display:none`；页面滚动回顶部；被点模块的高亮态（`.active`）正确"
"CORE-HM-06","核心功能测试","启动与首页框架（CORE-HM）","首页跳「只看核心必会」","P1","位于首页","点「只看核心必会」按钮","进入搜索视图，统计行显示核心必会总览（含火焰标识），列表条数 = **65**"
"CORE-HM-07","核心功能测试","启动与首页框架（CORE-HM）","首页跳「浏览全部知识点」","P0","位于首页","点「浏览全部知识点」按钮","进入搜索视图，统计行显示「全部知识点」，列表条数 = **224**，按优先级排序"
"CORE-HM-08","核心功能测试","启动与首页框架（CORE-HM）","按工艺查阅五张卡","P1","位于首页","查看「按工艺查阅」区域","5 张卡：塑料成型（注塑·挤出·硅胶模压）、钣金冲压、压铸铝、挤压铝型材、跨工艺通用；每卡显示条目数与「进入工艺页 →」"
"CORE-HM-09","核心功能测试","启动与首页框架（CORE-HM）","我的常用默认项与编辑上限","P1","清空 localStorage","1) 查看「我的常用」区；2) 点「编辑」；3) 勾选第 9 个模块；4) 全部取消勾选","1) 默认 4 项：STEP成本评估 / 速查手册 / 检查清单 / 公式速查；2) 展开 14 个可勾选项；3) 提示已达上限且第 9 项自动取消勾选（上限 8）；4) 恢复默认 4 项；刷新后保持一致（`kb-ws-short-v1`）"
"CORE-HM-10","核心功能测试","启动与首页框架（CORE-HM）","我的常用点击直达模块","P2","首页","点击「我的常用」里的任一项","跳到对应模块（等效于点击导航），视图与高亮同步"
"CORE-HM-11","核心功能测试","启动与首页框架（CORE-HM）","内容总览十五格跳转","P1","首页","依次点击「内容总览」的 15 格","分别进入：知识点、参考图、速查表、检查项、整机案例、术语、缺陷排查、设计避坑、面试题、标准、选型决策树、公式与单位、领域导读、实战模板、我的收藏；每格数字与附录 A 对应（收藏格显示实时收藏数）"
"CORE-HM-12","核心功能测试","启动与首页框架（CORE-HM）","最近浏览与最近更新面板","P2","清空 localStorage","1) 查看「最近浏览」；2) 点开 3 条知识点后返回首页；3) 查看「最近更新」并点击展开","1) 空态「还没有浏览记录，点开任意知识点就会出现在这里。」；2) 出现 3 条记录，含相对时间（刚刚 / N 分钟前）；3) 「最近更新」默认收起，点整条 bar 展开显示最近 3 条更新日志，文案在「展开 ▼ / 收起 ▲」间切换"
"CORE-KB-01","核心功能测试","知识库浏览（CORE-KB）","领域卡进入领域视图","P0","首页","点击「材料应用」领域卡","进入领域视图；头部显示领域名 + 「49 条」+ tagline；显示能力清单与子类筛选行（`材料应用` 含 mat/metal 两个子类）"
"CORE-KB-02","核心功能测试","知识库浏览（CORE-KB）","领域条目数正确","P1","进入各领域","依次进入 12 个领域，记录头部条数","依次为：材料应用 49、成型与加工 25、模具与DFM 14、结构设计 43、工程制图与公差 10、表面处理 10、光学设计 14、散热设计 15、安规认证 14、测试验证 10、包装与物流 8、成本与量产 12，合计 224"
"CORE-KB-03","核心功能测试","知识库浏览（CORE-KB）","领域导读卡展开与收起","P1","进入任一领域","1) 查看导读卡；2) 点「收起 ▲」；3) 点「展开 ▼」；4) 点 bar 空白处","导读卡默认展开，含 5 段（解决什么问题 / 核心概念地图 / 在开发链条中的位置 / 常见误区 / 学习建议）；收起后仅剩标题行；展开恢复；点 bar 空白处等同切换"
